company_id,company_name,affiliation_id,active
DCSYNPCOM000568,Dr. Sumita Rastogi Clinic,,Y
DCSYNPCOM001705,Dr. Suryawanshi's Orthodontic and Dental Specialit,,Y
DCSYNPCOM001243,Dr. Sushma Skin and Laser Clinic,,Y
DCSYNPCOM001942,Dr. Sushmita's Dental Clinic,,Y
DCSYNPCOM000623,Dr. Swathi Clinic,,Y
DCSYNPCOM000395,Dr. Tiwari's Clinic,,Y
DCSYNPCOM001047,Dr. Vijay's Hospital,,Y
DCSYNPCOM002015,Dr. Vipin Satija Neurology Clinic,,Y
DCSYNPCOM001577,Dr. Yojna's Dental Clinic Digital Smile Design and,,Y
DCSYNPCOM001330,Dr. Yugandhar Superspeciality Dental Hospital,,Y
DCSYNPCOM000398,Dr.Baldua's Clinic,,Y
DCSYNPCOM000579,Dr.C.Santhosh Kumar's Clinic,,Y
DCSYNPCOM000269,Dr.Chhabra's Skinlife clinic,,Y
DCSYNPCOM000544,Dr.Saurabh Agarwal Clinic,,Y
DCSYNPCOM001149,Earth and Ether Clinic,,Y
DCSYNPCOM001624,Echo Dental Clinic and Implant Center,,Y
DCSYNPCOM001162,Elegance Skin And Cosmetic Clinic,,Y
DCSYNPCOM001347,Elite Esthetics and Dental Clinic,,Y
DCSYNPCOM000806,Elite Heart Clinic & Pathology Lab,,Y
DCSYNPCOM001152,Elite Skin & Hair Clinic,,Y
DCSYNPCOM000392,Elite Women and Child Care Hospital,,Y
DCSYNPCOM000574,Emergency Vijaya Hospitals,,Y
DCSYNPCOM001797,Encore Speciality Clinics,,Y
DCSYNPCOM000150,Encore Specialty Clinics,,Y
DCSYNPCOM000437,Epitome Kidney Urology And Lions Hospital,,Y
DCSYNPCOM001127,EPTA Clinic,,Y
DCSYNPCOM000399,Era Clinic,,Y
DCSYNPCOM000271,Essence Skin Clinic,,Y
DCSYNPCOM000848,Eternal Heart Care Center (EHCC),,Y
DCSYNPCOM000157,Even Hospitals,,Y
DCSYNPCOM000770,Evening Clinic Cardiology - NKPC,,Y
DCSYNPCOM001277,Ezhil Child Health & Skin Care Clinic,,Y
DCSYNPCOM000569,Family Clinic,,Y
DCSYNPCOM001471,Family Dental Clinic,,Y
DCSYNPCOM000689,Family Trust Clinic,,Y
DCSYNPCOM000539,Femcare Clinic,,Y
DCSYNPCOM000174,Fortis Escorts Heart Institute,,Y
DCSYNPCOM000853,Fortis Escorts Hospital,,Y
DCSYNPCOM000161,Fortis La Femme,,Y
DCSYNPCOM000234,Frontier Lifeline Hospital,,Y
DCSYNPCOM001490,Gajanan Clinic,,Y
DCSYNPCOM001338,Gajanana Smile Care Dental Clinic,,Y
DCSYNPCOM000957,Ganwani Heart Care Clinic,,Y
DCSYNPCOM000386,Garg Multispeciality Hospital,,Y
DCSYNPCOM000666,Gastrone : Nagpur Gastro Liver And Endoscopy Cente,,Y
DCSYNPCOM001905,Genesis Brain And Spine Clinic,,Y
DCSYNPCOM001628,Genus Dental Implant And Orthodontic Center,,Y
DCSYNPCOM000116,Germanten Hospitals,,Y
DCSYNPCOM000537,Girdhar Hospital And Research Centre,,Y
DCSYNPCOM001969,"Gk'S Skin, Hair & Cosmetic Clinic",,Y
DCSYNPCOM000213,Gleneagles Hospitals,,Y
DCSYNPCOM000406,Globar Clinic,,Y
DCSYNPCOM000112,Gokul Heart and Cholesterol Clinic,,Y
DCSYNPCOM001580,Gold Medal Pre Clinic,,Y
DCSYNPCOM001694,Goodness Dental Clinic And Implant Centre,,Y
DCSYNPCOM001641,Gottipati Dental Hospital,,Y
DCSYNPCOM000146,Greenview Medical Center,,Y
DCSYNPCOM001299,Gurukripa Sonography and Skin Clinic,,Y
DCSYNPCOM001107,HairMate Clinic,,Y
DCSYNPCOM001504,Happy 32 Dental Clinic & Implant Center,,Y
DCSYNPCOM000572,Happy Minds Psychiatric Clinic,,Y
DCSYNPCOM001388,Harsini's Dental Clinic,,Y
DCSYNPCOM001307,He also gives training to novice doctors by servin,,Y
DCSYNPCOM000563,Heal And Cure Medical Centre,,Y
DCSYNPCOM001917,Health Care Clinic,,Y
DCSYNPCOM000543,Health Line Clinic,,Y
DCSYNPCOM000309,Health Valley Hospital,,Y
DCSYNPCOM000658,HealX Clinic,,Y
DCSYNPCOM000855,Heart & Vascular Clinic,,Y
DCSYNPCOM001941,Heart and Gynae Clinic,,Y
DCSYNPCOM001940,Heart And Gynae Clinic,,Y
DCSYNPCOM000225,Heart And Internal Medicine Clinic,,Y
DCSYNPCOM000719,HeartClinic,,Y
DCSYNPCOM000931,Heartlands Clinic,,Y
DCSYNPCOM000893,Heartwise Clinic,,Y
DCSYNPCOM001609,Hemang Dental Orthodontic & Implant Clinic,,Y
DCSYNPCOM001269,Hexa Anti-Aging & Preventive Clinic,,Y
DCSYNPCOM001316,Hi-Tech Skin Cosmetology Clinic and Hair Transplan,,Y
DCSYNPCOM000881,Himanshu Clinic,,Y
DCSYNPCOM001488,Holistic Ent And Dental Superspeciality Clinic,,Y
DCSYNPCOM000322,Hosmat Hospital,,Y
DCSYNPCOM001793,HOSMAT Hospital,,Y
DCSYNPCOM001785,Hosmat Hospital Pvt Ltd,,Y
DCSYNPCOM000896,Hospital Care & Company,,Y
DCSYNPCOM000985,Hradyam Heart Clinic,,Y
DCSYNPCOM000941,Hrudayam Heart And Woman Care Clinic,,Y
DCSYNPCOM000948,HrudVed Clinic,,Y
DCSYNPCOM001817,Hycare Hospitals,,Y
DCSYNPCOM000111,Idea Clinics,,Y
DCSYNPCOM000394,Indigo Hospital,,Y
DCSYNPCOM001479,Indira Clinic,,Y
DCSYNPCOM001746,Indore Poly Dental Clinic,,Y
DCSYNPCOM001211,Indra Skin Clinic,,Y
DCSYNPCOM000891,Infinity Medical Clinic,,Y
DCSYNPCOM001407,Ira Clinic,,Y
DCSYNPCOM001540,Ivories Laser Dental Clinic & Dental Implant Cente,,Y
